Sharp Bananas,,,,,Raspberry Racers,,,,,DeAndre 3000,,,,,,,,,,,
Lou Russo,,,,,Mike Sandora🏆,,,,,Ed Puodziunas,,,,,,,,,,,
Count,Position,Player,Contract,,Count,Position,Player,Contract,,Count,Position,Player,Contract,,,,,,,,
1,WR,Garrett Wilson,3,,1,QB,Patrick Mahomes,3,,1,QB,CJ Stroud,2,,,,,,,,
2,WR,Tank Dell,2,,2,TE,George Kittle,2,,2,WR,Nico Collins,2,,,,,,,,
3,RB,David Montgomery,1,,3,RB,Jonathan Taylor,2,,3,TE,Trey McBride,1,,,,,,,,
4,WR,Rashee Rice,1,,4,WR,Josh Palmer,2,,4,TE,Sam LaPorta,1,,,,,,,,
5,WR,Jordan Addison,1,,5,WR,Ceedee Lamb,1,,5,WR,Devonta Smith,1,,,,,,,,
6,TE,TJ Hockenson,1,,6,RB,Bijan Robinson,1,,6,RB,Miles Sanders,1,,,,,,,,
7,RB,Josh Jacobs,1,,7,RB,AJ Dillon,1,,7,QB,Trey Lance,1,,,,,,,,
8,RB,Omarion Hampton,3,,8,RB,Jaylen Warren,1,,8,RB,Ashton Jeanty,3,,,,,,,,
9,,,,,9,TE,Jake Ferguson,1,,9,,,,,,,,,,,
10,,,,,10,WR,Travis Hunter,3,,10,,,,,,,,,,,
11,,,,,11,RB,Treveyon Henderson,3,,11,,,,,,,,,,,
12,,,,,12,,,,,12,,,,,,,,,,,
13,,,,,13,,,,,13,,,,,,,,,,,
14,,,,,14,,,,,14,,,,,,,,,,,
15,,,,,15,,,,,15,,,,,,,,,,,
Practice Squad Stash,,,,,Practice Squad Stash,,,,,Practice Squad Stash,,,,,,,,,,,
1,WR,Ladd McConkey {2},LAC,,1,RB,Kimani Vidal {2},LAC,,1,WR,Jalin Hyatt {3},NYG,,,,,,,,
2,RB,Trey Benson {2},ARI,,2,WR,Roman Wilson {2},PIT,,2,RB,Blake Corum {2},LAR,,,,,,,,
3,QB,Drake Maye {2},NE,,3,WR,Ricky Pearsall {2},SF,,3,RB,Bucky Irving {2},TB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
New Offseason Contracts,,,,,New Offseason Contracts,,,,,New Offseason Contracts,,,,,,,,,,,
Russo 2025 3 YR Contract (1),,,,,Mike S 2025 3 YR Contract (1),,,,,Puodziunas 2025 3 YR Contract (1),,,,,,,,,,,
Russo 2025 3 YR Contract (2),,,,,Mike S 2025 3 YR Contract (2),,,,,Puodziunas 2025 3 YR Contract (2),,,,,,,,,,,
Russo 2025 2 YR Contract (1),,,,,Mike S 2025 2 YR Contract (1),,,,,Puodziunas 2025 2 YR Contract (1),,,,,,,,,,,
Russo 2025 2 YR Contract (2),,,,,Mike S 2025 2 YR Contract (2),,,,,Puodziunas 2025 2 YR Contract (2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contract Extentions,,,,,Contract Extentions,,,,,Contract Extentions,,,,,,,,,,,
Russo Extension 2025 (1),,,,,Mike S Extension 2025 (1),,,,,Puodziunas Extension 2025 (1),,,,,,,,,,,
Russo Extension 2025 (2),,,,,Mike S Extension 2025 (2),,,,,Puodziunas Extension 2025 (2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rookie Draft Picks,,,,,Rookie Draft Picks,,,,,Rookie Draft Picks,,,,,,,,,,,
Russo 2026 1st Round Pick,,,,,Mike S 2026 1st Round Pick,,,,,Puodziunas 2026 1st Round Pick,,,,,,,,,,,
Russo 2026 2nd Round Pick,,,,,Mike S 2026 2nd Round Pick,,,,,Puodziunas 2026 2nd Round Pick,,,,,,,,,,,
Russo 2027 1st Round Pick,,,,,Stephens 2026 2nd Round Pick,,,,,Mark S 2026 2nd Round Pick,,,,,,,,,,,
Russo 2027 2nd Round Pick,,,,,Mike S 2027 1st Round Pick,,,,,Puodziunas 2027 1st Round Pick,,,,,,,,,,,
,,,,,Mike S 2027 2nd Round Pick,,,,,Puodziunas 2027 2nd Round Pick,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Offseason Free Agent Auction Cash,,,,,Offseason Free Agent Auction Cash,,,,,Offseason Free Agent Auction Cash,,,,,,,,,,,
$125 ($75 currently tradeable),,,,,$120 ($70 currently tradeable),,,,,$118 ($68 currently tradeable),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Chalupa Batman,,,,,Keenan And Kelce,,,,,You Shenault Pass,,,,,,,,,,,
Kevin Kolodziej,,,,,Lou DiLuzio 🏆,,,,,Brian Pushman 🏆,,,,,,,,,,,
Count,Position,Player,Contract,,Count,Position,Player,Contract,,Count,Position,Player,Contract,,,,,,,,
1,WR,Tyreek Hill,3,,1,QB,Jayden Daniels,3,,1,RB,Chase Brown,3,,,,,,,,
2,QB,Bo Nix,3,,2,WR,Jakobi Meyers,3,,2,TE,Tyler Warren,3,,,,,,,,
3,WR,Chris Godwin,2,,3,WR,Courtland Sutton,2,,3,WR,Jayden Higgins,2,,,,,,,,
4,QB,Michael Penix,2,,4,WR,Puka Nacua,2,,4,RB,Joe Mixon,2,,,,,,,,
5,RB,Kyren Williams,1,,5,WR,Malik Nabers,2,,5,RB,James Cook,2,,,,,,,,
6,WR,Michael Wilson,1,,6,WR,Rome Odunze,2,,6,QB,Trevor Lawrence,2,,,,,,,,
7,WR,Stefon Diggs,1,,7,WR,Xavier Worthy,2,,7,QB,Jordan Love,1,,,,,,,,
8,,,,,8,TE,Dalton Kincaid,1,,8,WR,Cooper Kupp,1,,,,,,,,
9,,,,,9,QB,Justin Fields,1,,9,WR,Elijah Moore,1,,,,,,,,
10,,,,,10,RB,Jahmyr Gibbs,1,,10,TE,Mark Andrews,1,,,,,,,,
11,,,,,11,RB,Nick Chubb,1,,11,WR,Jaylen Waddle,1,,,,,,,,
12,,,,,12,RB,Tyjae Spears,1,,12,WR,AJ Brown,1,,,,,,,,
13,,,,,13,TE,Brock Bowers,1,,13,QB,Bryce Young,1,,,,,,,,
14,,,,,14,,,,,14,WR,Javon Baker,1,,,,,,,,
15,,,,,15,,,,,15,,,,,,,,,,,
Practice Squad Stash,,,,,Practice Squad Stash,,,,,Practice Squad Stash,,,,,,,,,,,
1,TE,Terrance Ferguson {1},LAR,,1,WR,Jack Bech {1},LVR,,1,RB,Jonathan Brooks {2},CAR,,,,,,,,
2,QB,Mason Taylor {1},NYJ,,2,RB,Cam Skattebo {1},NYG,,2,,,,,,,,,,,
3,QB,,,,3,WR,Xavier Legette {2},CAR,,3,,,,,,,,,,,
New Offseason Contracts,,,,,New Offseason Contracts,,,,,New Offseason Contracts,,,,,,,,,,,
Kolodziej 2025 3 YR Contract (1),,,,,DiLuzio 2025 3 YR Contract (1),,,,,Pushman 2025 3 YR Contract (1),,,,,,,,,,,
Kolodziej 2025 3 YR Contract (2),,,,,DiLuzio 2025 3 YR Contract (2),,,,,Pushman 2025 3 YR Contract (2),,,,,,,,,,,
Kolodziej 2025 2 YR Contract (1),,,,,DiLuzio 2025 2 YR Contract (1),,,,,Pushman 2025 2 YR Contract (1),,,,,,,,,,,
Kolodziej 2025 2 YR Contract (2),,,,,DiLuzio 2025 2 YR Contract (2),,,,,Pushman 2025 2 YR Contract (2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contract Extentions,,,,,Contract Extentions,,,,,Contract Extentions,,,,,,,,,,,
Kolodziej Extension 2025 (1),,,,,DiLuzio Extension 2025 (1),,,,,Pushman Extension 2025 (1),,,,,,,,,,,
