"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","25","1","2","1.1","0.2","0"
"2",1,"Justin Jefferson",MIN,"WR2","26","1","3","2.0","0.3","0"
"3",1,"Malik Nabers",NYG,"WR3","22","3","10","4.6","1.8","+2"
"4",1,"Bijan Robinson",ATL,"RB1","23","3","7","4.7","1.3","0"
"5",1,"CeeDee Lamb",DAL,"WR4","26","3","11","5.0","2.2","-2"
"6",2,"Jahmyr Gibbs",DET,"RB2","23","4","9","6.0","1.2","0"
"7",2,"Brian Thomas Jr.",JAC,"WR5","22","4","11","8.4","1.9","+4"
"8",2,"Amon-Ra St. Brown",DET,"WR6","25","4","13","8.4","2.4","+2"
"9",2,"Ashton Jeanty",LV,"RB3","21","6","12","8.5","1.5","-2"
"10",2,"Puka Nacua",LAR,"WR7","24","6","16","8.9","2.4","-2"
"11",3,"Nico Collins",HOU,"WR8","26","8","18","12.7","2.1","+2"
"12",3,"Drake London",ATL,"WR9","24","10","21","14.6","2.9","+2"
"13",3,"Saquon Barkley",PHI,"RB4","28","11","28","16.1","5.8","-1"
"14",3,"Brock Bowers",LV,"TE1","22","8","29","16.9","5.8","-5"
"15",3,"De'Von Achane",MIA,"RB5","23","11","33","17.1","5.7","+1"
"16",3,"Ladd McConkey",LAC,"WR10","23","14","27","18.2","3.6","-1"
"17",3,"Jaxon Smith-Njigba",SEA,"WR11","23","15","31","20.1","4.5","+2"
"18",3,"Garrett Wilson",NYJ,"WR12","25","13","26","20.7","3.3","+8"
"19",3,"A.J. Brown",PHI,"WR13","28","13","33","21.3","5.1","+1"
"20",4,"Marvin Harrison Jr.",ARI,"WR14","23","10","32","22.6","4.8","-2"
"21",4,"Josh Allen",BUF,"QB1","29","14","36","23.0","5.3","0"
"22",4,"Omarion Hampton",LAC,"RB6","22","12","41","23.3","6.8","+2"
"23",4,"Breece Hall",NYJ,"RB7","24","12","41","23.8","7.9","+4"
"24",4,"Lamar Jackson",BAL,"QB2","28","12","48","24.9","7.6","+1"
"25",4,"Bucky Irving",TB,"RB8","22","15","40","25.2","7.6","-3"
"26",4,"Trey McBride",ARI,"TE2","25","13","37","26.1","6.0","-9"
"27",4,"Jonathan Taylor",IND,"RB9","26","15","50","27.4","10.1","+1"
"28",4,"Jayden Daniels",WAS,"QB3","24","10","42","27.6","8.1","-5"
"29",4,"Tetairoa McMillan",CAR,"WR15","22","15","46","27.9","7.6","+3"
"30",4,"Travis Hunter",JAC,"WR16","22","22","35","28.8","4.0","0"
"31",4,"Tee Higgins",CIN,"WR17","26","25","39","29.9","3.9","-2"
"32",5,"Rashee Rice",KC,"WR18","25","23","49","34.0","6.7","-1"
"33",5,"Joe Burrow",CIN,"QB4","28","15","53","34.1","8.7","+5"
"34",5,"DeVonta Smith",PHI,"WR19","26","28","46","36.7","5.3","+2"
"35",5,"Jalen Hurts",PHI,"QB5","27","27","51","37.9","7.4","+4"
"36",5,"Zay Flowers",BAL,"WR20","24","32","61","40.0","7.5","+12"
