Player,Pos,Value
Ja'Marr Chase,WR,481.94
Bijan Robinson,RB,120.49
CeeDee Lamb,WR,96.39
Ashton Jeanty,RB,53.55
Nico Collins,WR,43.81
Ladd McConkey,WR,30.12
Jaxon Smith-Njigba,WR,28.35
Garrett Wilson,WR,26.77
Marvin Harrison Jr.,WR,24.1
Omarion Hampton,RB,21.91
Lamar Jackson,QB,20.08
Bucky Irving,RB,19.28
Trey McBride,TE,18.54
Jonathan Taylor,RB,17.85
Tetairoa McMillan,WR,16.62
Travis Hunter,WR,16.06
Rashee Rice,WR,15.06
Joe Burrow,QB,14.6
DeVonta Smith,WR,14.17
Sam LaPorta,TE,13.03
DK Metcalf,WR,11.47
Patrick Mahomes II,QB,11.21
Jordan Addison,WR,10.95
TreVeyon Henderson,RB,10.71
Josh Jacobs,RB,10.25
Terry McLaurin,WR,9.45
Justin Herbert,QB,9.09
Emeka Egbuka,WR,8.76
Christian McCaffrey,RB,8.61
George Kittle,TE,8.46
T.J. Hockenson,TE,8.31
